[2025-07-14 18:39:49.430] [info]  DiscordSplash.signalReady
[2025-07-14 18:39:49.453] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-14 18:39:49.454] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-07-14 18:39:49.461] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-14 18:39:49.461] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-07-14 18:39:49.462] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-14 18:39:49.462] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-07-14 18:39:49.463] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-14 18:39:49.463] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-07-14 18:39:49.463] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-14 18:39:49.464] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-07-14 18:39:49.464] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-14 18:39:49.464] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-07-14 18:39:49.466] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-14 18:39:49.467] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-07-14 18:39:49.839] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-14 18:39:49.840] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-07-14 18:39:50.347] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-07-14 18:39:50.347] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-07-14 18:39:50.374] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
